STATE/UT,YEAR,POPULATION,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,CRIMES AGAINST SC,CRIMES AGAINST ST,Crimes Against Women,TOTAL IPC CRIMES,LITERACY RATE,AREA (in sq. km),CRIMES AGAINST CHILDREN,JUVENILES APPREHENDED,POLICEMEN KILLED,THEFT CASES REPOERTED,THEFT VALUE TOTAL,TOTAL  Dacoity,TOTAL  Robbery,TOTAL  Burglary,TOTAL  Theft,Total Petty Crime,Human Rights Violation Cases,Policemen Chargesheeted,Polimen Charged
LAKSHADWEEP,2001,60650,1,0,0,0,0,0,0,0,0,0,0,0,1,10,0,10,1,1,0,0,2,3,0,0,0,0,0,0,17,0,0,0,36,86.66,32,-45.64624192,1,0,11,105790,0,0,1,10,11,2.222470463,-0.894401092,0.433313074
PUDUCHERRY,2001,974345,25,32,1,9,0,9,4,3,1,1,0,4,111,528,284,244,100,5,23,3,31,635,1,35,27,3,0,166,2324,13,0,78,4068,81.24,479,-20.2148351,3,0,644,10234351,1,4,111,528,644,2.15591008,-0.703732275,0.188782437
ANDHRA PRADESH,2002,77722774,2525,1644,165,1002,0,1002,1302,854,448,197,3,648,7628,19222,3544,15678,2140,1050,6733,155,991,39839,449,3799,2024,7018,0,8691,36385,3385,525,15146,143610,62.66,275045,1209.746287,1466,55,27695,462165830,197,648,7628,19222,27695,26,14,0
ARUNACHAL PRADESH,2002,1119093,61,38,6,38,0,38,57,38,19,22,0,96,249,395,51,344,21,23,29,5,20,401,0,68,2,13,0,0,684,0,87,159,2228,56.94,83743,14.50733881,132,0,762,30808825,22,96,249,395,762,4.141890182,0.444747497,-0.396016977
ASSAM,2002,27000659,1253,479,55,970,0,970,1595,1276,319,473,18,607,2504,5555,496,5059,3014,558,719,57,438,4764,70,984,7,1694,0,1957,8575,47,39,5001,36346,66.59,78438,-26.01421977,332,18,9139,115251845,473,607,2504,5555,9139,3,2,0
BIHAR,2002,84184099,3712,3526,396,1040,0,1040,2361,744,1617,1289,141,2288,3188,10145,1131,9014,8675,1215,1811,72,600,8770,927,621,6,1577,38,2497,39145,1579,29,4953,94040,49.66,94163,-9.595389009,653,17,16910,229031128,1289,2288,3188,10145,16910,0,0,0
CHHATTISGARH,2002,21045463,844,453,24,992,0,992,178,154,24,144,6,326,3731,4302,889,3413,817,96,393,18,235,4484,85,1483,147,653,0,963,17576,443,508,3514,37950,66.41,135191,353.8555057,1257,15,35115.30935,403071707.4,144,326,3731,4302,8503,5,3,0
GOA,2002,1370938,30,20,4,12,0,12,9,5,4,5,0,24,376,496,146,350,79,27,78,3,25,236,2,18,6,8,0,202,780,2,0,51,2440,82.29,3702,-2.625517262,67,0,901,31014056,5,24,376,496,901,2.326425039,-0.548310085,0.248791294
GUJARAT,2002,51234618,1532,759,13,267,0,267,1015,807,208,804,12,1098,5327,15742,6195,9547,3665,1385,1457,46,1915,13531,62,750,104,3321,0,3258,50612,1370,340,5311,106675,70.96,196024,472.5221175,2349,58,22971,2019751221,804,1098,5327,15742,22971,14,12,0
HARYANA,2002,21553266,760,487,89,361,1,360,427,290,137,61,162,330,3048,5962,2955,3007,700,579,933,32,199,4514,256,454,1424,1565,0,955,16854,243,5,4350,40152,68.81,44212,638.1329481,1850,32,-14036.69065,181014015.4,61,330,3048,5962,9401,1,1,0
