STATE/UT,YEAR,STATE AND YEAR,POPULATION,LITERACY RATE,AREA (in sq. km),MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,CRIMES AGAINST SC,CRIMES AGAINST ST,CRIMES AGAINST CHILDREN,JUVENILES APPREHENDED,POLICEMEN KILLED,THEFT CASES REPOERTED,THEFT VALUE TOTAL,TOTAL  Dacoity,TOTAL  Robbery,TOTAL  Burglary,TOTAL  Theft,Total Petty Crime,Human Rights Violation Cases,Policemen Chargesheeted,Polimen Charged,Crimes Against Women,TOTAL IPC CRIMES
ASSAM,2002,ASSAM2002,27000659,66.59,78438,1253,479,55,970,0,970,1595,1276,319,473,18,607,2504,5555,496,5059,3014,558,719,57,438,4764,70,984,7,1694,0,1957,8575,47,39,,332,18,9139,115251845,473,607,2504,5555,9139,3,2,0,5001,36346
BIHAR,2002,BIHAR2002,84184099,49.66,94163,3712,3526,396,1040,0,1040,2361,744,1617,1289,141,2288,3188,10145,1131,9014,8675,1215,1811,72,600,8770,927,621,6,1577,38,2497,39145,1579,29,,653,17,16910,229031128,1289,2288,3188,10145,16910,0,0,0,4953,94040
CHHATTISGARH,2002,CHHATTISGARH2002,21045463,66.41,135191,844,453,24,992,0,992,178,154,24,144,6,326,3731,4302,889,3413,817,96,393,18,235,4484,85,1483,147,653,0,963,17576,443,508,,1257,15,,,144,326,3731,4302,8503,5,3,0,3514,37950
GOA,2002,GOA2002,1370938,82.29,3702,30,20,4,12,0,12,9,5,4,5,0,24,376,496,146,350,79,27,78,3,25,236,2,18,6,8,0,202,780,2,0,,67,0,901,31014056,5,24,376,496,901,,,,51,2440
GUJARAT,2002,GUJARAT2002,51234618,70.96,196024,1532,759,13,267,0,267,1015,807,208,804,12,1098,5327,15742,6195,9547,3665,1385,1457,46,1915,13531,62,750,104,3321,0,3258,50612,1370,340,,2349,58,22971,2019751221,804,1098,5327,15742,22971,14,12,0,5311,106675
HARYANA,2002,HARYANA2002,21553266,68.81,44212,760,487,89,361,1,360,427,290,137,61,162,330,3048,5962,2955,3007,700,579,933,32,199,4514,256,454,1424,1565,0,955,16854,243,5,,1850,32,,,61,330,3048,5962,9401,1,1,0,4350,40152
HIMACHAL PRADESH,2002,HIMACHAL PRADESH2002,6176050,77.04,55673,123,86,6,137,0,137,138,116,22,0,1,18,710,564,142,422,646,75,137,0,145,1476,6,326,12,234,0,482,6921,97,3,,117,1,1292,118036202,0,18,710,564,1292,0,0,0,831,12243
JAMMU & KASHMIR,2002,JAMMU & KASHMIR2002,10267594,57,222236,1048,1240,31,192,0,192,674,596,78,42,0,163,1321,2020,664,1356,996,91,382,20,386,366,18,785,368,54,0,380,9390,13,6,,3,96,3546,100880037,42,163,1321,2020,3546,5,2,0,2013,19967
JHARKHAND,2002,JHARKHAND2002,27345207,55.86,74677,1488,1143,115,797,0,797,468,178,290,580,55,780,1419,4374,560,3814,2281,333,441,6,167,2294,275,411,3,588,36,416,12969,125,124,,731,34,,,580,780,1419,4374,7153,,,,2288,31439
KARNATAKA,2002,KARNATAKA2002,53673558,67.55,191791,1627,1576,55,292,0,292,645,300,345,178,66,972,6480,13818,4376,9442,6838,485,2764,175,437,22824,233,1648,100,1826,0,152,50508,1787,240,,265,19,,,178,972,6480,13818,21448,5,0,0,4399,113699
KERALA,2002,KERALA2002,32081624,91.06,38852,454,562,210,499,0,499,162,91,71,137,4,610,4624,5743,1978,3765,8090,357,2924,135,452,19033,17,2123,102,2836,0,32,55094,524,102,,207,0,,,137,610,4624,5743,11114,,,,5668,104200
MADHYA PRADESH,2002,MADHYA PRADESH2002,61348350,64.47,308245,2395,2864,194,2891,0,2891,964,639,325,136,142,1829,13344,20759,4845,15914,3178,507,1240,54,1053,29955,674,7118,783,3117,0,3679,94923,7217,2504,,6981,39,,,136,1829,13344,20759,36068,1,0,0,15222,191799
MAHARASHTRA,2002,MAHARASHTRA2002,98400213,77.65,307713,2768,1435,93,1352,1,1351,953,650,303,548,271,2136,14471,37606,9122,28484,6360,1468,4145,176,1269,29250,303,2686,769,5353,0,9407,42643,634,271,,4461,60,54761,2245771729,548,2136,14471,37606,54761,10,9,0,11113,165462
MANIPUR,2002,MANIPUR2002,2350361,71.98,22327,165,160,3,14,0,14,157,82,75,3,8,6,44,255,115,140,64,28,72,12,48,378,0,58,0,10,0,25,1074,0,0,,0,3,,,3,6,44,255,308,,,,164,2584
MEGHALAYA,2002,MEGHALAYA2002,2355473,63.75,22429,167,58,3,38,0,38,52,10,42,64,2,109,154,392,51,341,9,9,33,8,23,89,0,23,0,0,0,12,419,0,2,,63,9,719,17518239,64,109,154,392,719,0,0,0,71,1664
MIZORAM,2002,MIZORAM2002,897758,88.49,21081,29,26,5,76,0,76,7,2,5,5,0,7,446,999,30,969,1,26,85,16,27,112,0,73,0,3,0,13,864,0,40,,49,0,,,5,7,446,999,1457,,,,154,2820
NAGALAND,2002,NAGALAND2002,2021622,67.11,16579,100,34,5,17,0,17,27,4,23,21,0,110,128,257,81,176,5,10,21,3,6,53,0,1,0,0,0,24,292,17,371,,9,3,516,25481751,21,110,128,257,516,0,0,0,22,1114
ODISHA,2002,ODISHA2002,37472743,64.98,155707,1075,1372,58,691,0,691,523,432,91,246,30,945,2884,5268,1028,4240,1598,246,793,12,405,4947,248,1605,188,1167,0,2672,20755,1195,480,,187,7,9343,186253376,246,945,2884,5268,9343,7,2,0,4331,47728
PUNJAB,2002,PUNJAB2002,24703447,70.61,50362,733,728,79,299,0,299,551,354,197,50,83,110,1928,2963,1267,1696,2,373,2716,39,68,4453,166,341,145,944,0,2310,9713,131,0,,136,73,,,50,110,1928,2963,5051,0,0,0,2249,28794
RAJASTHAN,2002,RAJASTHAN2002,57315265,61.04,342239,1276,2043,68,1051,0,1051,2587,2019,568,47,33,734,6661,16313,4706,11607,7178,938,7286,63,1130,26519,399,2730,44,5691,0,4670,63787,4535,930,,1765,33,23755,550257950,47,734,6661,16313,23755,3,1,0,11934,151248
SIKKIM,2002,SIKKIM2002,549237,69.68,7096,13,5,2,6,0,6,9,2,7,0,0,5,66,64,5,59,15,3,48,0,2,50,0,17,0,3,0,7,170,1,10,,2,0,135,726030,0,5,66,64,135,,,,28,485
TAMIL NADU,2002,TAMIL NADU2002,63485023,74.53,130060,1723,2133,36,534,0,534,1001,714,287,176,25,653,5533,18755,4671,14084,4252,288,2017,121,850,25150,243,1877,1718,1052,0,10125,88680,2097,77,,632,43,25117,437136618,176,653,5533,18755,25117,6,6,0,6138,166942
TRIPURA,2002,TRIPURA2002,3241485,74.68,10486,201,38,1,108,0,108,128,48,80,29,0,56,192,270,51,219,180,12,20,7,40,518,16,128,0,236,0,46,849,0,0,,7,42,,,,,,,,,,,536,3075
UTTAR PRADESH,2002,UTTAR PRADESH2002,169440795,59.26,240928,6825,6283,1243,1415,1,1414,3430,2298,1132,552,59,2840,6126,22419,6353,16066,4878,2738,5026,127,643,13947,1893,2145,1887,5679,0,7313,48569,7927,61,,78,80,31937,705962269,552,2840,6126,22419,31937,9,7,0,15317,146037
UTTARAKHAND,2002,UTTARAKHAND2002,8578095,72.28,53566,292,249,47,89,0,89,198,155,43,32,6,177,554,1365,374,991,342,145,312,8,40,760,66,145,97,316,1,440,2295,99,3,,7,0,2128,51953575,32,177,554,1365,2128,,,,869,7976
